cust_id,income,age,years_with_bank,nbr_children,gender,marital_status
C0001,20271,55,14,1,M,Y
C0002,20542,39,27,2,F,Y
C0003,20813,23,10,3,M,N
C0004,21084,60,23,4,F,Y
C0005,21355,44,6,5,M,Y
C0006,21626,28,19,0,F,N
C0007,21897,65,2,1,M,Y
C0008,22168,49,15,2,F,Y
C0009,22439,33,28,3,M,N
C0010,22710,70,11,4,F,Y
C0011,22981,54,24,5,M,Y
C0012,23252,38,7,0,F,N
C0013,23523,22,20,1,M,Y
C0014,23794,59,3,2,F,Y
C0015,24065,43,16,3,M,N
C0016,24336,27,29,4,F,Y
C0017,24607,64,12,5,M,Y
C0018,24878,48,25,0,F,N
C0019,25149,32,8,1,M,Y
C0020,25420,69,21,2,F,Y
C0021,25691,53,4,3,M,N
C0022,25962,37,17,4,F,Y
C0023,26233,21,30,5,M,Y
C0024,26504,58,13,0,F,N
C0025,26775,42,26,1,M,Y
C0026,27046,26,9,2,F,Y
C0027,27317,63,22,3,M,N
C0028,27588,47,5,4,F,Y
C0029,27859,31,18,5,M,Y
C0030,28130,68,1,0,F,N
C0031,28401,52,14,1,M,Y
C0032,28672,36,27,2,F,Y
C0033,28943,20,10,3,M,N
C0034,29214,57,23,4,F,Y
C0035,29485,41,6,5,M,Y
C0036,29756,25,19,0,F,N
C0037,30027,62,2,1,M,Y
C0038,30298,46,15,2,F,Y
C0039,30569,30,28,3,M,N
C0040,30840,67,11,4,F,Y
C0041,31111,51,24,5,M,Y
C0042,31382,35,7,0,F,N
C0043,31653,19,20,1,M,Y
C0044,31924,56,3,2,F,Y
C0045,32195,40,16,3,M,N
C0046,32466,24,29,4,F,Y
C0047,32737,61,12,5,M,Y
C0048,33008,45,25,0,F,N
C0049,33279,29,8,1,M,Y
C0050,33550,66,21,2,F,Y
C0051,33821,50,4,3,M,N
C0052,34092,34,17,4,F,Y
C0053,34363,18,30,5,M,Y
C0054,34634,55,13,0,F,N
C0055,34905,39,26,1,M,Y
C0056,35176,23,9,2,F,Y
C0057,35447,60,22,3,M,N
C0058,35718,44,5,4,F,Y
C0059,35989,28,18,5,M,Y
C0060,36260,65,1,0,F,N
C0061,36531,49,14,1,M,Y
C0062,36802,33,27,2,F,Y
C0063,37073,70,10,3,M,N
C0064,37344,54,23,4,F,Y
C0065,37615,38,6,5,M,Y
C0066,37886,22,19,0,F,N
C0067,38157,59,2,1,M,Y
C0068,38428,43,15,2,F,Y
C0069,38699,27,28,3,M,N
C0070,38970,64,11,4,F,Y
